marca;data_criacao;id_carro_marca
ACURA;2022-09-23;1
AGRALE;2022-09-23;4
ALFA ROMEO;2022-09-23;5
AM GEN;2022-09-23;13
KIA;2022-09-23;14
AUDI;2022-09-23;18
BUGGY;2022-09-23;41
CADILLAC;2022-09-23;42
CBT;2022-09-23;45
CHANA;2022-09-23;46
CHERY;2022-09-23;48
CHRYSLER;2022-09-23;53
CITROEN;2022-09-23;64
CROSS LANDER;2022-09-23;80
DAEWOO;2022-09-23;82
DAIHATSU;2022-09-23;90
DODGE;2022-09-23;97
EFFA;2022-09-23;102
ENGESA;2022-09-23;106
ENVEMO;2022-09-23;107
FERRARI;2022-09-23;109
FIAT;2022-09-23;119
FORD;2022-09-23;145
CHEVROLET;2022-09-23;181
GREAT WALL;2022-09-23;227
GURGEL;2022-09-23;228
HAFEI;2022-09-23;233
HONDA;2022-09-23;234
HYUNDAI;2022-09-23;242
JAC;2022-09-23;264
JAGUAR;2022-09-23;267
JEEP;2022-09-23;272
JINBEI;2022-09-23;277
JPX;2022-09-23;278
LADA;2022-09-23;298
LAMBORGHINI;2022-09-23;301
LAND ROVER;2022-09-23;303
LEXUS;2022-09-23;308
LIFAN;2022-09-23;314
LOBINI;2022-09-23;316
LOTUS;2022-09-23;317
MAHINDRA;2022-09-23;319
MASERATI;2022-09-23;320
MATRA;2022-09-23;332
MAZDA;2022-09-23;333
MERCEDES-BENZ;2022-09-23;345
MERCURY;2022-09-23;350
MG;2022-09-23;352
MINI;2022-09-23;354
MITSUBISHI;2022-09-23;356
MIURA;2022-09-23;373
NISSAN;2022-09-23;374
PEUGEOT;2022-09-23;397
PLYMOUTH;2022-09-23;420
PONTIAC;2022-09-23;422
PORSCHE;2022-09-23;424
RENAULT;2022-09-23;429
SAAB;2022-09-23;445
SATURN;2022-09-23;446
SEAT;2022-09-23;447
SMART;2022-09-23;450
SSANGYONG;2022-09-23;451
SUBARU;2022-09-23;458
SUZUKI;2022-09-23;465
TAC;2022-09-23;474
TOYOTA;2022-09-23;475
TROLLER;2022-09-23;488
VOLVO;2022-09-23;490
VOLKSWAGEN;2022-09-23;493
UTILITARIOS AGRICOLAS;2022-09-23;539
WILLYS OVERLAND;2022-09-23;540
BMW;2022-09-23;543
INFINITI;2022-09-23;556
PUMA;2022-09-23;557
HUMMER;2022-09-23;558
KARMANN GHIA;2022-09-23;563
MORRIS;2022-09-23;574
SKODA;2022-09-23;577
DKW-VEMAG;2022-09-23;584
HANOMAG;2022-09-23;586
HILLMAN;2022-09-23;589
HRG;2022-09-23;609
GAIOLA;2022-09-23;701
BUICK;2022-09-23;712
GEELY;2022-09-23;764
